Num,CC,Opis,CC name
WC34,1131195,Myjka Seco Warwick,Heat Treatment
WC4,1131802,wklad OSP,Gear sets
WC5,1131812,montaz OSP stary,Assembly OSPP
WC6,1131812,montaz OSP nowy,Assembly OSPP
WC7,1131807,montaz OSPM,Assembly OPSM/OSPMS
WC8,1131808,korpus wyj˜ciowy TAD,Assembly OPSM/OSPMS
WC9,1131812,montaz OSPP,Assembly OSPP
56065,1132560,LAG Assembly DW1493 MAFAC,Sleeve & Spool Soft
56075,1132560,LAG Assembly DW1494 STUDER/RHU,Sleeve & Spool Soft
56085,1132560,LAG Assembly DW1495 BULA,Sleeve & Spool Soft
56095,1132560,LAG Assembly DW1505 WEMA,Sleeve & Spool Soft
51075,1132510,DW1427 Tischpresse - 733,HOUSE_SU/ GEH
53070,1132530,DW1479 Wyssbrod,SPOOL_SET_SOFT/SV_W
54065,1132540,Entgraten manuell - 555,SPOOL_SET_HARD/SV_H
56094,1132560,DW1504 Schleifmaschine RHU 650/173 - 770,Sleeve & Spool Soft
HANOMAG,1132550,PLR - drilling drain,GEAR_SET/VDR
HNT,1132530,HNT,SPOOL_SET_SOFT/SV_W
